class_id,class_name,class_probability
0741,"{""fi"":""Uimahallit"",""sv"":""Simhallar"",""en"":""Indoor swimming pools""}",0.01
0742,"{""fi"":""Monitoimihallit"",""sv"":""Allaktivitetshallar"",""en"":""Gymnasia""}",0.01
0743,"{""fi"":""Urheilu- ja palloiluhallit"",""sv"":""Idrotts- och bollhallar"",""en"":""Sports and ball game halls""}",0.01
0744,"{""fi"":""Stadion- ja katsomorakennukset"",""sv"":""Stadion- och läktarbyggnader"",""en"":""Stadium and spectator buildings""}",0.01
0749,"{""fi"":""Muut urheilu- ja liikuntarakennukset"",""sv"":""Övriga idrotts- och motionsbyggnader"",""en"":""Other buildings for sports and exercise""}",0.01
0790,"{""fi"":""Muut kokoontumisrakennukset"",""sv"":""Övriga byggnader för samlingslokaler"",""en"":""Other assembly buildings""}",0.01
0810,"{""fi"":""Lasten päiväkodit"",""sv"":""Daghem"",""en"":""Children's day care centres""}",0.005
0820,"{""fi"":""Yleissivistävien oppilaitosten rakennukset"",""sv"":""Byggnader för allmänbildande läroanstalter"",""en"":""General education buildings""}",0.005
0830,"{""fi"":""Ammatillisten oppilaitosten rakennukset"",""sv"":""Byggnader för yrkesläroanstalter"",""en"":""Vocational education buildings""}",0.005
0840,"{""fi"":""Korkeakoulurakennukset"",""sv"":""Högskolebyggnader"",""en"":""University buildings""}",0.005
0841,"{""fi"":""Tutkimuslaitosrakennukset"",""sv"":""Forskningsanstaltsbyggnader"",""en"":""Research institute buildings""}",0.005
0890,"{""fi"":""Vapaan sivistystyön opetusrakennukset"",""sv"":""Undervisningsbyggnader inom det fria bildningsarbetet"",""en"":""Educational buildings for voluntary adult education""}",0.005
0891,"{""fi"":""Järjestöjen, liittojen, työnantajien ja vastaavien opetusrakennukset"",""sv"":""Organisationers, förbunds, arbetsgivares och motsvarande undervisningsbyggnader"",""en"":""Educational buildings of organisations, unions, employers and similar""}",0.005
0910,"{""fi"":""Yleiskäyttöiset teollisuushallit"",""sv"":""Allmänna industrihallar"",""en"":""General purpose industrial buildings""}",0.005
0911,"{""fi"":""Raskaan teollisuuden tehdasrakennukset"",""sv"":""Fabriksbyggnader inom den tunga industrin"",""en"":""Heavy industry factory buildings""}",0.005
0912,"{""fi"":""Elintarviketeollisuuden tuotantorakennukset"",""sv"":""Produktionsbyggnader inom livsmedelsindustrin"",""en"":""Food industry production buildings""}",0.005
0919,"{""fi"":""Muut teollisuuden tuotantorakennukset"",""sv"":""Övriga produktionsbyggnader inom industrin"",""en"":""Other industrial production buildings""}",0.005
0920,"{""fi"":""Teollisuus- ja pienteollisuustalot"",""sv"":""Industri- och småindustrihus"",""en"":""Workshops for industry and small-scale industry""}",0.005
0930,"{""fi"":""Metallimalmien käsittelyrakennukset"",""sv"":""Byggnader för hantering av metallmalm"",""en"":""Processing buildings for metal ores""}",0.005
0939,"{""fi"":""Muut kaivannaistoiminnan rakennukset"",""sv"":""Övriga byggnader inom gruvindustrin"",""en"":""Other mining and quarrying buildings""}",0.005
1010,"{""fi"":""Sähköenergian tuotantorakennukset"",""sv"":""Byggnader för produktion av elenergi"",""en"":""Production buildings for electrical energy""}",0.005
1011,"{""fi"":""Lämpö- ja kylmäenergian tuotantorakennukset"",""sv"":""Byggnader för produktion av värme- och kylenergi"",""en"":""Production buildings for thermal and cold energy""}",0.005
1090,"{""fi"":""Energiansiirtorakennukset"",""sv"":""Byggnader för energiöverföring"",""en"":""Energy transfer buildings""}",0.005
1091,"{""fi"":""Energianvarastointirakennukset"",""sv"":""Byggnader för lagring av energi"",""en"":""Energy storage buildings""}",0.005
1110,"{""fi"":""Vedenotto-, vedenpuhdistus- ja vedenjakelurakennukset"",""sv"":""Byggnader för vattentäkt, vattenrening och vattendistribution"",""en"":""Water intake, water treatment and water distribution buildings""}",0.005
1120,"{""fi"":""Jätteenkeruu-, jätteenkäsittely- ja jätteenvarastointirakennukset"",""sv"":""Byggnader för insamling, hantering och deponering av avfall"",""en"":""Waste collection, waste treatment and waste storage buildings""}",0.005
1130,"{""fi"":""Materiaalien kierrätysrakennukset"",""sv"":""Byggnader för materialåtervinning"",""en"":""Material recycling buildings""}",0.005
1210,"{""fi"":""Lämmittämättömät varastot"",""sv"":""Ouppvärmda lager"",""en"":""Unheated warehouses""}",0.01
1211,"{""fi"":""Lämpimät varastot"",""sv"":""Varma lager"",""en"":""Heated warehouses""}",0.01
1212,"{""fi"":""Kylmä- ja pakastevarastot"",""sv"":""Kyl- och fryslager"",""en"":""Cold and freezer warehouses""}",0.01
1213,"{""fi"":""Muut olosuhteiltaan säädellyt varastot"",""sv"":""Övriga lager vars förhållanden är reglerade"",""en"":""Other warehouses with controlled conditions""}",0.01
1214,"{""fi"":""Logistiikkakeskukset ja muut monikäyttöiset varastorakennukset"",""sv"":""Logistikcentraler och andra mångsidiga lagerbyggnader"",""en"":""Logistics centres and other multi-purpose warehouse buildings""}",0.01
1215,"{""fi"":""Varastokatokset"",""sv"":""Lagertak"",""en"":""Sheds""}",0.01
1310,"{""fi"":""Paloasemat"",""sv"":""Brandstationer"",""en"":""Fire stations""}",0.005
1311,"{""fi"":""Väestönsuojat"",""sv"":""Skyddsrum"",""en"":""Civil defence shelters""}",0.01
1319,"{""fi"":""Muut pelastustoimen rakennukset"",""sv"":""Övriga byggnader för räddningsväsendet"",""en"":""Other rescue service buildings""}",0.01
1410,"{""fi"":""Lypsykarjarakennukset"",""sv"":""Byggnader för mjölkboskap"",""en"":""Buildings for dairy cattle""}",0.01
1411,"{""fi"":""Lihakarjarakennukset"",""sv"":""Byggnader för köttboskap"",""en"":""Beef cattle buildings""}",0.01
1412,"{""fi"":""Sikalat"",""sv"":""Svinhus"",""en"":""Piggeries""}",0.01
1413,"{""fi"":""Lampolat ja vuohinavetat"",""sv"":""Fårhus och getstall"",""en"":""Sheepfolds and goat barns""}",0.01
1414,"{""fi"":""Hevostallit"",""sv"":""Häststall"",""en"":""Horse stables""}",0.01
1415,"{""fi"":""Siipikarjarakennukset"",""sv"":""Byggnader för fjäderfä"",""en"":""Poultry buildings""}",0.01
1416,"{""fi"":""Turkiseläinrakennukset"",""sv"":""Byggnader för pälsdjur"",""en"":""Fur animal buildings""}",0.01
1419,"{""fi"":""Muut eläinsuojat"",""sv"":""Övriga djurstall"",""en"":""Other animal shelters""}",0.01
1490,"{""fi"":""Kasvihuoneet"",""sv"":""Växthus"",""en"":""Greenhouses""}",0.01
1491,"{""fi"":""Viljankuivaamot ja viljansäilytysrakennukset"",""sv"":""Spannmålstorkar och byggnader för uppbevaring av spannmål"",""en"":""Grain drying and storage buildings""}",0.01
1492,"{""fi"":""Maatalouden varastorakennukset"",""sv"":""Lagerbyggnader för lantbruket"",""en"":""Agricultural storage buildings""}",0.01
1493,"{""fi"":""Lantalat"",""sv"":""Gödselstäder"",""en"":""Manure storage""}",0.01
1499,"{""fi"":""Muut maa-, metsä- ja kalatalouden rakennukset"",""sv"":""Övriga byggnader för jordbruk, skogsbruk och fiske"",""en"":""Other buildings in agriculture, forestry and fishing""}",0.01
1910,"{""fi"":""Saunarakennukset"",""sv"":""Bastubyggnader"",""en"":""Sauna buildings""}",0.01
1911,"{""fi"":""Talousrakennukset"",""sv"":""Ekonomibyggnader"",""en"":""Outbuildings""}",0.01
1912,"{""fi"":""Majat ja tuvat"",""sv"":""Hyddor och kojor"",""en"":""Huts and lodges""}",0.01
1919,"{""fi"":""Muualla luokittelemattomat rakennukset"",""sv"":""Byggnader som inte klassificerats någon annanstans"",""en"":""Buildings n.e.c.""}",0.005
