attribute_id,attribute_name,attribute_question,group_id,active,attribute_tooltip
0113,"{""fi"":""Varastohuone"",""sv"":""[Svenska]Varastohuone"",""en"":""[English]Varastohuone""}","{""fi"":""Onko rakennuksessa varastohuonetta?"",""sv"":""[Svenska]Onko rakennuksessa varastohuonetta?"",""en"":""[English]Onko rakennuksessa varastohuonetta?""}",7,True,"{""fi"":""Varastohuoneet ovat yleensä pienehköjä rakennuksen muuta toimintaa palvelevia varastotiloja. Esimerkiksi lähivarasto, vaatehuone ja ulkoiluvälinevarasto."",""sv"":""[Svenska]Varastohuoneet ovat yleensä pienehköjä rakennuksen muuta toimintaa palvelevia varastotiloja. Esimerkiksi lähivarasto, vaatehuone ja ulkoiluvälinevarasto."",""en"":""[English]Varastohuoneet ovat yleensä pienehköjä rakennuksen muuta toimintaa palvelevia varastotiloja. Esimerkiksi lähivarasto, vaatehuone ja ulkoiluvälinevarasto.""}"
0114,"{""fi"":""WC"",""sv"":""[Svenska]WC"",""en"":""[English]WC""}","{""fi"":""Onko rakennuksessa WC?"",""sv"":""[Svenska]Onko rakennuksessa WC?"",""en"":""[English]Onko rakennuksessa WC?""}",1,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0115,"{""fi"":""Porras"",""sv"":""[Svenska]Porras"",""en"":""[English]Porras""}","{""fi"":""Onko rakennuksessa porras?"",""sv"":""[Svenska]Onko rakennuksessa porras?"",""en"":""[English]Onko rakennuksessa porras?""}",,False,"{""fi"":"""",""sv"":"""",""en"":""""}"
0116,"{""fi"":""WC-pesuhuone"",""sv"":""[Svenska]WC-pesuhuone"",""en"":""[English]WC-pesuhuone""}","{""fi"":""Onko rakennuksessa WC-pesuhuone?"",""sv"":""[Svenska]Onko rakennuksessa WC-pesuhuone?"",""en"":""[English]Onko rakennuksessa WC-pesuhuone?""}",1,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0117,"{""fi"":""Keittotila"",""sv"":""[Svenska]Keittotila"",""en"":""[English]Keittotila""}","{""fi"":""Onko rakennuksessa keittotila?"",""sv"":""[Svenska]Onko rakennuksessa keittotila?"",""en"":""[English]Onko rakennuksessa keittotila?""}",2,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0200,"{""fi"":""Talotekniikka"",""sv"":""[Svenska]Talotekniikka"",""en"":""[English]Talotekniikka""}","{""fi"":""Onko rakennuksessa talotekniikkaa?"",""sv"":""[Svenska]Onko rakennuksessa talotekniikkaa?"",""en"":""[English]Onko rakennuksessa talotekniikkaa?""}",,False,"{""fi"":""Talotekniikka on yhteisnimitys kiinteistön ja siihen liittyvien tilojen teknisten palveluiden, järjestelmien ja laitteiden kokonaisuudelle."",""sv"":""[Svenska]Talotekniikka on yhteisnimitys kiinteistön ja siihen liittyvien tilojen teknisten palveluiden, järjestelmien ja laitteiden kokonaisuudelle."",""en"":""[English]Talotekniikka on yhteisnimitys kiinteistön ja siihen liittyvien tilojen teknisten palveluiden, järjestelmien ja laitteiden kokonaisuudelle.""}"
0201,"{""fi"":""Tekniikkatila"",""sv"":""[Svenska]Tekniikkatila"",""en"":""[English]Tekniikkatila""}","{""fi"":""Onko rakennuksessa tekniikkatiloja?"",""sv"":""[Svenska]Onko rakennuksessa tekniikkatiloja?"",""en"":""[English]Onko rakennuksessa tekniikkatiloja?""}",,True,"{""fi"":""Rakennuksen talotekniikkatilat yleensä. Esimerkiksi lämmönjakokeskus, vesimittarihuone, sähköpääkeskus, telekeskus, kylmälaitehuone tai sprinklerkeskus."",""sv"":""[Svenska]Rakennuksen talotekniikkatilat yleensä. Esimerkiksi lämmönjakokeskus, vesimittarihuone, sähköpääkeskus, telekeskus, kylmälaitehuone tai sprinklerkeskus."",""en"":""[English]Rakennuksen talotekniikkatilat yleensä. Esimerkiksi lämmönjakokeskus, vesimittarihuone, sähköpääkeskus, telekeskus, kylmälaitehuone tai sprinklerkeskus.""}"
0202,"{""fi"":""IV-konehuone"",""sv"":""[Svenska]IV-konehuone"",""en"":""[English]IV-konehuone""}","{""fi"":""Onko rakennuksessa ilmanvaihdon konehuone?"",""sv"":""[Svenska]Onko rakennuksessa ilmanvaihdon konehuone?"",""en"":""[English]Onko rakennuksessa ilmanvaihdon konehuone?""}",,True,"{""fi"":""Rakennuksen ilmanvaihtolaitteiston tarpeisiin rakennettu tekniikkatila. Yleensä muita talotekniikkatiloja suurempi kooltaan ja korkeudeltaan."",""sv"":""[Svenska]Rakennuksen ilmanvaihtolaitteiston tarpeisiin rakennettu tekniikkatila. Yleensä muita talotekniikkatiloja suurempi kooltaan ja korkeudeltaan."",""en"":""[English]Rakennuksen ilmanvaihtolaitteiston tarpeisiin rakennettu tekniikkatila. Yleensä muita talotekniikkatiloja suurempi kooltaan ja korkeudeltaan.""}"
0203,"{""fi"":""Tekniikkakomero"",""sv"":""[Svenska]Tekniikkakomero"",""en"":""[English]Tekniikkakomero""}","{""fi"":""Onko rakennuksessa tekniikkakomeroa?"",""sv"":""[Svenska]Onko rakennuksessa tekniikkakomeroa?"",""en"":""[English]Onko rakennuksessa tekniikkakomeroa?""}",,True,"{""fi"":""Pieni tekniikkatila. Esimerkiksi ryhmäkeskus, sähkökomero, ristikytkentäkomero tai ristikytkentätila."",""sv"":""[Svenska]Pieni tekniikkatila. Esimerkiksi ryhmäkeskus, sähkökomero, ristikytkentäkomero tai ristikytkentätila."",""en"":""[English]Pieni tekniikkatila. Esimerkiksi ryhmäkeskus, sähkökomero, ristikytkentäkomero tai ristikytkentätila.""}"
0204,"{""fi"":""Muuntamo"",""sv"":""[Svenska]Muuntamo"",""en"":""[English]Muuntamo""}","{""fi"":""Onko rakennuksessa muuntamo?"",""sv"":""[Svenska]Onko rakennuksessa muuntamo?"",""en"":""[English]Onko rakennuksessa muuntamo?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0205,"{""fi"":""Ristikytkentätila"",""sv"":""[Svenska]Ristikytkentätila"",""en"":""[English]Ristikytkentätila""}","{""fi"":""Onko rakennuksessa ristikytkentätila?"",""sv"":""[Svenska]Onko rakennuksessa ristikytkentätila?"",""en"":""[English]Onko rakennuksessa ristikytkentätila?""}",,False,"{""fi"":"""",""sv"":"""",""en"":""""}"
0206,"{""fi"":""Kasvien kasvatus"",""sv"":""[Svenska]Kasvien kasvatus"",""en"":""[English]Kasvien kasvatus""}","{""fi"":""Kasvatetaanko rakennuksessa kasveja?"",""sv"":""[Svenska]Kasvatetaanko rakennuksessa kasveja?"",""en"":""[English]Kasvatetaanko rakennuksessa kasveja?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0207,"{""fi"":""Kasvihuone"",""sv"":""[Svenska]Kasvihuone"",""en"":""[English]Kasvihuone""}","{""fi"":""Onko rakennuksessa kasvihuone?"",""sv"":""[Svenska]Onko rakennuksessa kasvihuone?"",""en"":""[English]Onko rakennuksessa kasvihuone?""}",,False,"{""fi"":"""",""sv"":"""",""en"":""""}"
0300,"{""fi"":""Asumisen yhteistoiminta"",""sv"":""[Svenska]Asumisen yhteistoiminta"",""en"":""[English]Asumisen yhteistoiminta""}","{""fi"":""Onko rakennuksessa asumisen yhteistoimintatiloja?"",""sv"":""[Svenska]Onko rakennuksessa asumisen yhteistoimintatiloja?"",""en"":""[English]Onko rakennuksessa asumisen yhteistoimintatiloja?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0301,"{""fi"":""Irtaimistovarasto"",""sv"":""[Svenska]Irtaimistovarasto"",""en"":""[English]Irtaimistovarasto""}","{""fi"":""Onko rakennuksessa irtaimistovarasto?"",""sv"":""[Svenska]Onko rakennuksessa irtaimistovarasto?"",""en"":""[English]Onko rakennuksessa irtaimistovarasto?""}",7,True,"{""fi"":""Irtaimistovarasto on asuinrakennuksissa vakiintunut käsite varastohuoneelle, johon on rakennettu asukkaille erillisiä varastokomeroita irtaimiston säilyttämiseen."",""sv"":""[Svenska]Irtaimistovarasto on asuinrakennuksissa vakiintunut käsite varastohuoneelle, johon on rakennettu asukkaille erillisiä varastokomeroita irtaimiston säilyttämiseen."",""en"":""[English]Irtaimistovarasto on asuinrakennuksissa vakiintunut käsite varastohuoneelle, johon on rakennettu asukkaille erillisiä varastokomeroita irtaimiston säilyttämiseen.""}"
0302,"{""fi"":""Pukuhuone"",""sv"":""[Svenska]Pukuhuone"",""en"":""[English]Pukuhuone""}","{""fi"":""Onko rakennuksessa pukuhuone?"",""sv"":""[Svenska]Onko rakennuksessa pukuhuone?"",""en"":""[English]Onko rakennuksessa pukuhuone?""}",5,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0303,"{""fi"":""WC, esteetön"",""sv"":""[Svenska]WC, esteetön"",""en"":""[English]WC, esteetön""}","{""fi"":""Onko rakennuksessa esteetön WC?"",""sv"":""[Svenska]Onko rakennuksessa esteetön WC?"",""en"":""[English]Onko rakennuksessa esteetön WC?""}",1,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0304,"{""fi"":""Apuvälinevarasto"",""sv"":""[Svenska]Apuvälinevarasto"",""en"":""[English]Apuvälinevarasto""}","{""fi"":""Onko rakennuksessa apuvälinevarasto?"",""sv"":""[Svenska]Onko rakennuksessa apuvälinevarasto?"",""en"":""[English]Onko rakennuksessa apuvälinevarasto?""}",7,True,"{""fi"":""Apuvälinevarasto on uusissa asuinrakennuksissa vakiintunut käsite varastohuoneelle, jossa usein sisääntulon läheisyydessä säilytetään lastenvaunuja ja liikkumisen apuvälineitä kuten pyörätuoleja ja rollaattoreita."",""sv"":""[Svenska]Apuvälinevarasto on uusissa asuinrakennuksissa vakiintunut käsite varastohuoneelle, jossa usein sisääntulon läheisyydessä säilytetään lastenvaunuja ja liikkumisen apuvälineitä kuten pyörätuoleja ja rollaattoreita."",""en"":""[English]Apuvälinevarasto on uusissa asuinrakennuksissa vakiintunut käsite varastohuoneelle, jossa usein sisääntulon läheisyydessä säilytetään lastenvaunuja ja liikkumisen apuvälineitä kuten pyörätuoleja ja rollaattoreita.""}"
0305,"{""fi"":""Kuivaushuone"",""sv"":""[Svenska]Kuivaushuone"",""en"":""[English]Kuivaushuone""}","{""fi"":""Onko rakennuksessa kuivaushuone?"",""sv"":""[Svenska]Onko rakennuksessa kuivaushuone?"",""en"":""[English]Onko rakennuksessa kuivaushuone?""}",,True,"{""fi"":""Kuivaushuone on märkien vaatteiden sekä varusteiden kuivatukseen tarkoitettu tila."",""sv"":""[Svenska]Kuivaushuone on märkien vaatteiden sekä varusteiden kuivatukseen tarkoitettu tila."",""en"":""[English]Kuivaushuone on märkien vaatteiden sekä varusteiden kuivatukseen tarkoitettu tila.""}"
